Portal Name,Client Folder,App Script ID,Spreadsheet ID,User Sheet ID,Deployment ID,Production URL,Script Editor URL,Sheet URL,User Sheet URL,Status,Notes
NBD Portal,clients/nbd-client1,1jP58Umrnbq9mNqhQNbZ512RILiZY3ddgiZOp3aBcsqTFkhlNQ-irK-oM,1X3ltwu9Etf9FjG2gxoCSHfw8sEDQcvXtWJTugEcUz8U,1jFr5BFta-ry6mJ8GGOh1p0gk2vhCRs4bv-RayBfX4BA,AKfycbzsiTrMs8g3WpRrU0ao3R0SLHoAVZAzdMhWeKu-7ig6FiP0dgzYshul9ZgGZ0tnqNiO,https://script.google.com/macros/s/AKfycbzsiTrMs8g3WpRrU0ao3R0SLHoAVZAzdMhWeKu-7ig6FiP0dgzYshul9ZgGZ0tnqNiO/exec,https://script.google.com/d/1jP58Umrnbq9mNqhQNbZ512RILiZY3ddgiZOp3aBcsqTFkhlNQ-irK-oM/edit,https://docs.google.com/spreadsheets/d/1X3ltwu9Etf9FjG2gxoCSHfw8sEDQcvXtWJTugEcUz8U,https://docs.google.com/spreadsheets/d/1jFr5BFta-ry6mJ8GGOh1p0gk2vhCRs4bv-RayBfX4BA,Active,Main NBD client
LQ Portal,clients/lq-portal,1VR2z8qu5u1paiRQeMUob0VN5pDgzm8WMRMZaCiYWDs1_inHbOBjh3ERb,1LeALluP02bd37clVesulu1JY7HeJjVNA4J067-QUM5w,1jFr5BFta-ry6mJ8GGOh1p0gk2vhCRs4bv-RayBfX4BA,AKfycbxmLSgEAkscorwywEkng166rQEARefuFRcgfX1P4FOeHjqRGFyQcrTA3fnO8RG6rpB-,https://script.google.com/macros/s/AKfycbxmLSgEAkscorwywEkng166rQEARefuFRcgfX1P4FOeHjqRGFyQcrTA3fnO8RG6rpB-/exec,https://script.google.com/d/1VR2z8qu5u1paiRQeMUob0VN5pDgzm8WMRMZaCiYWDs1_inHbOBjh3ERb/edit,https://docs.google.com/spreadsheets/d/1LeALluP02bd37clVesulu1JY7HeJjVNA4J067-QUM5w,https://docs.google.com/spreadsheets/d/1jFr5BFta-ry6mJ8GGOh1p0gk2vhCRs4bv-RayBfX4BA,Active,Shared user sheet with NBD Portal
